symbol_id,cat_id
12769,1232
12770,1232
12771,1232
12772,1232
12773,1232
12774,1232
12775,1232
12776,1232
12777,1232
12778,1232
12779,1232
12780,1232
12781,1232
12782,1232
12783,1232
12784,1232
12785,1232
12786,1232
12787,1232
12788,1232
12789,1232
12790,1232
12791,1232
12792,1232
12793,1232
12794,1232
12795,1232
12796,1232
12797,1232
12798,1232
12799,1233
12800,1233
12801,1233
12802,1233
12803,1233
12804,1233
12805,1233
12806,1233
12807,1233
12808,1233
12809,1233
12810,1233
12811,1233
12812,1233
12813,1233
12814,1233
12815,1233
12816,1233
12817,1233
12818,1233
12819,1233
12820,1233
12821,1233
12822,1233
12823,1233
12824,1233
12825,1233
12826,1233
12827,1233
12828,1233
12829,1233
12830,1233
12831,1233
12832,1233
12833,1233
12834,1233
12835,1233
12836,1233
12837,1233
12838,1233
12839,1233
12840,1233
12841,1233
12842,1233
12843,1233
12844,1233
12845,1233
12846,1233
12847,1233
12848,1233
12849,1233
12850,1233
12851,1233
12852,1233
12853,1233
12854,1233
12855,1233
12856,1233
12857,1233
12858,1233
12859,1233
12860,1233
12861,1233
12862,1233
12863,1217
12864,1217
12865,1217
12866,1217
12867,1217
12868,1217
12869,1217
12870,1217
12871,1217
12872,1217
12873,1217
12874,1217
12875,1217
12876,1217
12877,1219
12877,1218
12878,1217
12879,1217
12880,1217
12881,1217
12882,1219
12883,1217
12884,1224
12884,1218
12885,1218
12885,1225
12886,1221
12886,1218
12887,1224
12887,1225
12887,1221
12887,1218
12888,1217
12889,1217
12890,1217
12891,1219
12892,1219
12893,1219
12894,1219
12895,1217
12896,1217
12897,1217
12898,1217
12899,1219
12900,1219
12901,1219
12902,1219
12903,1219
12904,1219
12905,1219
12906,1219
12907,1219
12908,1219
12909,1219
12910,1219
12911,1219
12912,1219
12913,1219
12914,1219
12915,1217
12916,1217
12917,1217
12918,1217
12919,1217
12920,1217
12921,1217
12922,1217
12923,1217
12924,1217
12925,1217
12926,1234
